day,Brazil,France,Germany,Italy,Russia,Spain,UK,US
2020/3/1,0,2,0,34,0,0,0,1
2020/3/2,0,3,0,52,0,0,0,6
2020/3/3,0,4,0,79,0,1,0,7
2020/3/4,0,4,0,107,0,2,0,11
2020/3/5,0,6,0,148,0,3,0,12
2020/3/6,0,9,0,197,0,5,1,14
2020/3/7,0,11,0,233,0,10,2,17
2020/3/8,0,19,0,366,0,17,2,21
2020/3/9,0,19,2,463,0,28,3,22
2020/3/10,0,33,2,631,0,35,7,28
2020/3/11,0,48,3,827,0,54,7,36
2020/3/12,0,48,3,827,0,55,9,41
2020/3/13,0,79,7,1266,0,133,10,49
2020/3/14,0,91,9,1441,0,195,28,58
2020/3/15,0,91,11,1809,0,289,43,73
2020/3/16,0,148,17,2158,0,342,65,99
2020/3/17,1,148,24,2503,0,533,81,133
2020/3/18,3,148,28,2978,0,623,115,164
2020/3/19,6,243,44,3405,1,830,158,258
2020/3/20,11,450,67,4032,1,1043,194,349
2020/3/21,15,562,84,4825,1,1375,250,442
2020/3/22,25,674,94,5476,1,1772,285,586
2020/3/23,34,860,123,6077,1,2311,359,786
2020/3/24,46,1100,157,6820,1,2808,508,1008
2020/3/25,59,1331,206,7503,3,3647,694,1316
2020/3/26,77,1696,267,8215,3,4365,877,1726
2020/3/27,92,1995,342,9134,4,5138,1161,2265
2020/3/28,111,2314,433,10023,4,5982,1455,2731
2020/3/29,136,2606,533,10779,8,6803,1669,3420
2020/3/30,159,3024,645,11591,9,7716,2043,4192
2020/3/31,201,3523,775,12428,17,8464,2425,5367
2020/4/1,240,4403,920,13155,24,9387,3095,6501
2020/4/2,324,5387,1107,13915,30,10348,3747,7921
2020/4/3,359,6507,1275,14681,34,11198,4461,9246
2020/4/4,445,7560,1444,15362,43,11947,5221,10855
2020/4/5,486,8078,1584,15887,45,12641,5865,12375
2020/4/6,564,8911,1810,16523,47,13341,6433,13894
2020/4/7,686,10328,2016,17127,58,14045,7471,16191
2020/4/8,819,10869,2349,17669,63,14792,8505,18270
2020/4/9,950,12210,2607,18279,76,15447,9608,20255
2020/4/10,1057,13197,2767,18849,94,16081,10760,22333
2020/4/11,1124,13832,2736,19468,106,16606,11599,24342
2020/4/12,1223,14393,3022,19899,130,17209,12285,26086
2020/4/13,1328,14967,3194,20465,148,17756,13029,27870
2020/4/14,1532,15712,3294,21067,170,18056,14073,30262
2020/4/15,1736,17148,3804,21645,198,18708,14915,32734
2020/4/16,1924,17901,4052,22170,232,19315,15944,34827
2020/4/17,2141,18661,4352,22745,273,20002,16879,37411
2020/4/18,2354,19303,4459,23227,313,20043,17994,39753
2020/4/19,2462,19694,4586,23660,361,20453,18492,40945
2020/4/20,2587,20240,4862,24114,405,20852,19051,42659
2020/4/21,2741,20765,5033,24648,456,21282,20223,45086
2020/4/22,2906,21309,5279,25085,513,21717,21060,47412
2020/4/23,3331,21825,5575,25549,555,22157,21787,49724
2020/4/24,3704,22214,5760,25969,615,22524,22792,51493
2020/4/25,4057,22583,5877,26384,681,22902,23635,53755
2020/4/26,4286,22825,5976,26644,747,23190,24055,54881
2020/4/27,4603,23262,6126,26977,794,23521,24393,56219
2020/4/28,5083,23629,6314,27359,867,23822,25302,58355
2020/4/29,5513,24056,6467,27682,972,24275,26097,60967
2020/4/30,6006,24345,6623,27967,1073,24543,26771,62996
2020/5/1,6412,24563,6736,28236,1169,24543,27510,64943
2020/5/2,6761,24729,6812,28710,1222,25100,28131,66369
2020/5/3,7051,24864,6866,28884,1280,25264,28446,67682
2020/5/4,7367,25168,6993,29079,1356,25428,28734,68922
2020/5/5,7938,25498,6993,29315,1451,25613,29427,71064
2020/5/6,8588,25772,7275,29684,1537,25857,30076,73455
2020/5/7,9190,25949,7392,29958,1625,26070,30615,75662
2020/5/8,10017,26192,7510,30201,1723,26299,31241,77180
2020/5/9,10656,26271,7549,30395,1827,26478,31587,78795
2020/5/10,11123,26341,7569,30560,1915,26621,31855,79526
2020/5/11,11653,26604,7661,30739,2009,26744,32065,80682
2020/5/12,12461,26951,7738,30911,2116,26920,32692,82356
